age,sex,bmi,weight
35,1,39.71,4
51,1,39.7,4
64,0,39.7,4
19,0,39.615,4
54,1,39.6,4
56,1,39.6,4
53,0,39.6,4
44,1,39.52,4
51,0,39.5,4
22,1,39.5,4
21,0,39.49,4
31,1,39.49,4
24,0,39.49,4
46,1,39.425,4
20,1,39.4,4
64,0,39.33,4
23,0,39.27,4
62,0,39.2,4
64,1,39.16,4
18,0,39.16,4
62,0,39.16,4
18,1,39.14,4
61,0,39.1,4
58,0,39.05,4
64,0,39.05,4
30,0,39.05,4
44,0,38.95,4
47,1,38.94,4
29,1,38.94,4
33,0,38.9,4
29,0,38.83,4
30,1,38.83,4
62,1,38.83,4
18,0,38.665,4
35,1,38.6,4
52,1,38.6,4
31,1,38.39,4
37,0,38.39,4
38,1,38.39,4
52,0,38.38,4
61,1,38.38,4
45,0,38.285,4
55,1,38.28,4
18,0,38.28,4
18,0,38.28,4
64,1,38.19,4
18,0,38.17,4
18,1,38.17,4
46,1,38.17,4
62,0,38.095,4
31,0,38.095,4
35,0,38.095,4
28,1,38.06,4
44,1,38.06,4
60,0,38.06,4
53,0,38.06,4
44,0,38.06,4
43,1,38.06,4
51,0,38.06,4
57,0,38,4
34,0,38,4
58,1,38,4
64,1,37.905,4
42,0,37.9,4
30,1,37.8,4
51,0,37.73,4
38,0,37.73,4
55,1,37.715,4
63,0,37.7,4
22,1,37.62,4
28,0,37.62,4
52,0,37.525,4
56,0,37.51,4
49,1,37.51,4
53,0,37.43,4
19,0,37.43,4
30,1,37.43,4
52,0,37.4,4
59,1,37.4,4
62,1,37.4,4
34,0,37.335,4
32,1,37.335,4
55,1,37.3,4
18,0,37.29,4
18,1,37.29,4
48,1,37.29,4
29,1,37.29,4
32,1,37.18,4
42,1,37.18,4
32,0,37.145,4
44,1,37.1,4
41,0,37.1,4
55,0,37.1,4
23,1,37.1,4
59,1,37.1,4
28,1,37.1,4
22,1,37.07,4
37,1,37.07,4
50,1,37.07,4
38,1,37.05,4
41,1,37.05,4
51,0,37.05,4
20,0,37,4
51,1,37,4
64,1,36.96,4
58,1,36.955,4
19,1,36.955,4
60,1,36.955,4
44,0,36.955,4
62,0,36.86,4
21,1,36.86,4
53,0,36.86,4
18,0,36.85,4
21,1,36.85,4
49,1,36.85,4
63,0,36.85,4
18,0,36.85,4
59,0,36.765,4
63,1,36.765,4
52,1,36.765,4
52,1,36.7,4
35,1,36.67,4
23,0,36.67,4
51,0,36.67,4
48,1,36.67,4
31,0,36.63,4
49,0,36.63,4
47,0,36.63,4
53,1,36.6,4
19,0,36.575,4
48,0,36.575,4
59,0,36.52,4
45,1,36.48,4
44,0,36.48,4
58,0,36.48,4
28,1,36.4,4
61,0,36.385,4
51,0,36.385,4
31,1,36.3,4
63,0,36.3,4
45,0,36.3,4
61,1,36.3,4
33,0,36.29,4
47,1,36.2,4
50,1,36.2,4
42,0,36.195,4
40,0,36.19,4
37,1,36.19,4
47,1,36.19,4
53,1,36.1,4
56,1,36.1,4
61,1,36.1,4
27,0,36.08,4
41,0,36.08,4
47,1,36.08,4
58,1,36.08,4
60,0,36.005,4
22,0,36,4
47,0,36,4
43,1,35.97,4
51,1,35.97,4
64,0,35.97,4
42,1,35.97,4
61,0,35.91,4
48,0,35.91,4
53,0,35.9,4
24,1,35.86,4
49,1,35.86,4
61,1,35.86,4
35,0,35.86,4
45,0,35.815,4
34,1,35.815,4
54,0,35.815,4
35,0,35.815,4
56,0,35.8,4
42,1,35.8,4
33,1,35.75,4
41,1,35.75,4
33,1,35.75,4
21,0,35.72,4
43,0,35.72,4
58,1,35.7,4
43,0,35.64,4
18,0,35.625,4
48,1,35.625,4
25,1,35.625,4
20,1,35.625,4
22,1,35.6,4
21,1,35.53,4
30,1,35.53,4
19,1,35.53,4
29,0,35.53,4
33,0,35.53,4
46,0,35.53,4
29,1,35.5,4
28,1,35.435,4
26,1,35.42,4
19,1,35.4,4
20,1,35.31,4
43,1,35.31,4
30,1,35.3,4
40,1,35.3,4
39,1,35.3,4
45,0,35.3,4
33,1,35.245,4
55,1,35.245,4
36,1,35.2,4
59,0,35.2,4
18,1,35.2,4
23,1,35.2,4
63,0,35.2,4
55,0,35.2,4
32,1,35.2,4
19,0,35.15,4
60,0,35.1,4
63,1,35.09,4
23,0,34.96,4
43,1,34.96,4
51,0,34.96,4
19,1,34.9,4
21,0,34.87,4
58,1,34.865,4
23,0,34.865,4
37,0,34.8,4
35,0,34.8,4
19,1,34.8,4
38,0,34.8,4
27,0,34.8,4
22,1,34.8,4
59,0,34.8,4
28,0,34.77,4
35,1,34.77,4
49,0,34.77,4
38,1,34.7,4
19,0,34.7,4
34,1,34.675,4
21,0,34.6,4
46,0,34.6,4
22,0,34.58,4
43,0,34.58,4
64,1,34.5,4
52,1,34.485,4
25,0,34.485,4
36,1,34.43,4
18,1,34.43,4
36,1,34.43,4
56,1,34.43,4
23,1,34.4,4
19,1,34.4,4
43,0,34.4,4
29,1,34.4,4
31,1,34.39,4
58,1,34.39,4
35,1,34.32,4
39,0,34.32,4
44,1,34.32,4
48,1,34.3,4
57,0,34.295,4
54,1,34.21,4
34,1,34.21,4
35,0,34.21,4
41,1,34.21,4
50,1,34.2,4
41,1,34.2,4
51,0,34.2,4
37,1,34.2,4
26,0,34.2,4
40,1,34.105,4
35,0,34.105,4
53,1,34.105,4
37,0,34.105,4
18,1,34.1,4
19,1,34.1,4
52,1,34.1,4
51,0,34.1,4
37,1,34.1,4
39,0,34.1,4
42,1,34.1,4
39,1,34.1,4
57,1,34.01,4
24,0,33.99,4
25,0,33.99,4
47,0,33.915,4
51,0,33.915,4
61,1,33.915,4
26,1,33.915,4
55,1,33.88,4
64,1,33.88,4
18,0,33.88,4
56,0,33.82,4
36,1,33.82,4
32,1,33.82,4
28,1,33.82,4
64,0,33.8,4
18,1,33.77,4
22,1,33.77,4
46,0,33.725,4
56,1,33.725,4
34,0,33.7,4
45,1,33.7,4
50,0,33.7,4
25,1,33.66,4
27,1,33.66,4
56,1,33.66,4
18,1,33.66,4
63,1,33.66,4
21,0,33.63,4
54,1,33.63,4
56,1,33.63,4
24,1,33.63,4
57,1,33.63,4
32,1,33.63,4
41,1,33.55,4
18,1,33.535,4
55,0,33.535,4
61,1,33.535,4
33,0,33.5,4
46,0,33.44,4
46,1,33.44,4
58,0,33.44,4
33,1,33.44,4
28,0,33.4,4
36,1,33.4,4
23,0,33.4,4
24,0,33.345,4
29,1,33.345,4
46,1,33.345,4
47,0,33.345,4
49,0,33.345,4
30,0,33.33,4
20,1,33.33,4
51,1,33.33,4
61,0,33.33,4
25,1,33.33,4
18,1,33.33,4
48,0,33.33,4
52,0,33.3,4
20,0,33.3,4
53,0,33.25,4
52,1,33.25,4
34,0,33.25,4
62,0,33.2,4
32,0,33.155,4
41,0,33.155,4
42,0,33.155,4
18,0,33.155,4
27,1,33.155,4
60,1,33.11,4
19,0,33.11,4
48,0,33.11,4
28,0,33.11,4
19,1,33.1,4
45,0,33.1,4
58,0,33.1,4
63,1,33.1,4
41,0,33.06,4
28,1,33,4
20,1,33,4
28,0,33,4
55,1,33,4
40,0,33,4
20,0,33,4
62,0,32.965,4
41,0,32.965,4
64,0,32.965,4
58,0,32.965,4
26,1,32.9,4
19,0,32.9,4
33,0,32.9,4
42,0,32.87,4
39,0,32.8,4
34,1,32.8,4
60,1,32.8,4
23,0,32.78,4
55,0,32.775,4
54,1,32.775,4
40,1,32.775,4
40,0,32.775,4
55,1,32.775,4
52,1,32.775,4
31,0,32.775,4
24,1,32.7,4
23,1,32.7,4
31,0,32.68,4
54,0,32.68,4
21,0,32.68,4
62,0,32.68,4
27,1,32.67,4
55,1,32.67,4
43,1,32.6,4
41,0,32.6,4
27,1,32.585,4
23,1,32.56,4
43,0,32.56,4
39,0,32.5,4
26,1,32.49,4
19,0,32.49,4
60,0,32.45,4
30,0,32.4,4
59,0,32.395,4
55,0,32.395,4
20,1,32.395,4
27,0,32.395,4
58,0,32.395,4
44,0,32.34,4
39,1,32.34,4
50,1,32.3,4
48,0,32.3,4
56,0,32.3,4
46,0,32.3,4
49,1,32.3,4
53,0,32.3,4
47,1,32.3,4
40,1,32.3,4
61,1,32.3,4
48,1,32.3,4
54,0,32.3,4
50,1,32.3,4
51,1,32.3,4
48,0,32.23,4
25,0,32.23,4
52,1,32.205,4
50,1,32.205,4
41,0,32.2,4
63,0,32.2,4
41,1,32.2,4
18,0,32.12,4
29,0,32.11,4
19,0,32.11,4
56,1,32.11,4
62,1,32.11,4
50,1,32.11,4
29,1,32.11,4
22,1,32.11,4
59,0,32.1,4
44,1,32.015,4
62,1,32.015,4
58,1,32.01,4
24,1,32.01,4
47,0,32,4
34,0,31.92,4
19,1,31.92,4
39,0,31.92,4
20,0,31.92,4
18,0,31.92,4
54,0,31.9,4
49,0,31.9,4
54,0,31.9,4
58,0,31.825,4
19,0,31.825,4
50,1,31.825,4
57,0,31.825,4
64,0,31.825,4
63,0,31.8,4
59,1,31.79,4
20,0,31.79,4
56,1,31.79,4
45,0,31.79,4
22,1,31.73,4
62,0,31.73,4
52,0,31.73,4
23,1,31.73,4
18,1,31.73,4
29,1,31.73,4
18,1,31.68,4
28,1,31.68,4
41,0,31.635,4
51,1,31.635,4
41,0,31.6,4
50,0,31.6,4
54,1,31.6,4
61,1,31.57,4
30,1,31.57,4
32,0,31.54,4
57,1,31.54,4
36,1,31.5,4
32,1,31.5,4
62,1,31.46,4
20,0,31.46,4
48,1,31.445,4
63,1,31.445,4
27,0,31.4,4
30,1,31.4,4
23,0,31.4,4
44,1,31.35,4
49,1,31.35,4
18,0,31.35,4
22,1,31.35,4
53,1,31.35,4
60,1,31.35,4
59,0,31.35,4
18,0,31.35,4
64,0,31.3,4
42,1,31.255,4
21,1,31.255,4
27,0,31.255,4
54,0,31.24,4
52,0,31.2,4
57,0,31.16,4
61,0,31.16,4
53,1,31.16,4
29,0,31.16,4
20,1,31.13,4
48,0,31.13,4
27,1,31.13,4
18,0,31.13,4
21,1,31.1,4
31,0,31.065,4
26,1,31.065,4
24,1,31.065,4
31,1,31.065,4
21,1,31.02,4
41,0,31.02,4
22,0,31.02,4
35,0,31,4
38,1,31,4
50,1,30.97,4
30,0,30.9,4
45,0,30.9,4
49,1,30.9,4
26,1,30.875,4
40,1,30.875,4
37,1,30.875,4
31,1,30.875,4
28,1,30.875,4
52,0,30.875,4
36,1,30.875,4
62,1,30.875,4
37,0,30.8,4
54,0,30.8,4
37,1,30.8,4
32,1,30.8,4
34,1,30.8,4
63,1,30.8,4
46,0,30.8,4
54,1,30.8,4
52,0,30.78,4
49,0,30.78,4
48,1,30.78,4
41,1,30.78,4
37,0,30.78,4
44,1,30.69,4
38,0,30.69,4
55,1,30.685,4
43,0,30.685,4
20,1,30.685,4
19,1,30.59,4
25,1,30.59,4
19,0,30.59,4
41,1,30.59,4
19,1,30.59,4
27,0,30.59,4
20,0,30.59,4
35,1,30.5,4
60,0,30.5,4
27,1,30.5,4
55,0,30.5,4
46,1,30.495,4
57,0,30.495,4
45,1,30.495,4
19,0,30.495,4
31,0,30.495,4
53,1,30.495,4
45,0,30.495,4
62,0,30.495,4
18,1,30.4,4
27,0,30.4,4
19,1,30.4,4
22,0,30.4,4
22,0,30.4,4
45,1,30.36,4
18,0,30.305,4
58,1,30.305,4
49,1,30.3,4
27,1,30.3,4
25,0,30.3,4
19,1,30.25,4
33,1,30.25,4
24,0,30.21,4
54,1,30.21,4
34,0,30.21,4
38,0,30.21,4
45,1,30.2,4
48,1,30.2,4
46,0,30.2,4
52,1,30.2,4
44,1,30.2,4
25,0,30.2,4
55,0,30.14,4
18,1,30.14,4
18,0,30.115,4
64,0,30.115,4
18,0,30.115,4
50,0,30.115,4
20,1,30.115,4
43,1,30.115,4
24,0,30.1,4
43,1,30.1,4
32,1,30.03,4
18,1,30.03,4
51,1,30.03,4
54,1,30.02,4
62,1,30.02,4
36,0,30.02,4
19,0,30.02,4
42,1,30,4
26,1,30,4
49,0,29.925,3
24,0,29.925,3
39,1,29.925,3
61,0,29.92,3
26,0,29.92,3
26,0,29.92,3
36,0,29.92,3
62,0,29.92,3
36,0,29.92,3
40,1,29.9,3
55,1,29.9,3
43,0,29.9,3
37,1,29.83,3
59,1,29.83,3
47,1,29.83,3
49,1,29.83,3
55,0,29.83,3
24,1,29.83,3
40,0,29.81,3
44,0,29.81,3
57,0,29.81,3
31,1,29.81,3
32,0,29.8,3
19,0,29.8,3
47,1,29.8,3
37,1,29.8,3
29,1,29.735,3
20,1,29.735,3
44,1,29.735,3
32,0,29.735,3
55,0,29.7,3
48,1,29.7,3
59,1,29.7,3
36,1,29.7,3
25,1,29.7,3
37,1,29.64,3
29,1,29.64,3
26,0,29.64,3
60,1,29.64,3
41,1,29.64,3
40,0,29.6,3
39,1,29.6,3
20,0,29.6,3
48,1,29.6,3
29,0,29.59,3
32,0,29.59,3
47,0,29.545,3
37,0,29.5,3
42,0,29.48,3
26,0,29.48,3
53,1,29.48,3
26,1,29.45,3
33,1,29.4,3
18,1,29.37,3
47,0,29.37,3
26,0,29.355,3
40,1,29.355,3
24,1,29.3,3
40,0,29.3,3
34,0,29.26,3
31,0,29.26,3
28,1,29.26,3
38,1,29.26,3
54,1,29.2,3
18,0,29.165,3
27,1,29.15,3
26,1,29.15,3
31,0,29.1,3
19,1,29.07,3
61,0,29.07,3
36,0,29.04,3
58,0,29,3
42,0,29,3
20,0,28.975,3
29,1,28.975,3
21,1,28.975,3
57,1,28.975,3
55,1,28.975,3
38,0,28.93,3
32,0,28.93,3
32,1,28.93,3
19,0,28.9,3
46,0,28.9,3
35,1,28.9,3
60,1,28.9,3
48,0,28.9,3
32,1,28.88,3
28,0,28.88,3
48,0,28.88,3
36,1,28.88,3
19,0,28.88,3
53,1,28.88,3
22,1,28.88,3
54,0,28.88,3
22,0,28.82,3
41,1,28.8,3
26,0,28.785,3
20,0,28.785,3
56,0,28.785,3
59,1,28.785,3
57,0,28.785,3
60,0,28.7,3
19,1,28.7,3
45,1,28.7,3
57,0,28.7,3
49,1,28.7,3
40,0,28.69,3
30,1,28.69,3
49,1,28.69,3
19,0,28.6,3
45,0,28.6,3
53,1,28.6,3
60,1,28.595,3
58,1,28.595,3
31,1,28.595,3
25,0,28.595,3
56,0,28.595,3
36,1,28.595,3
31,1,28.5,3
24,1,28.5,3
24,1,28.5,3
18,1,28.5,3
27,1,28.5,3
23,0,28.49,3
41,1,28.405,3
30,0,28.405,3
19,0,28.4,3
19,1,28.4,3
30,0,28.38,3
63,1,28.31,3
23,0,28.31,3
61,1,28.31,3
19,0,28.31,3
42,1,28.31,3
56,0,28.31,3
22,1,28.31,3
41,0,28.31,3
18,1,28.31,3
19,0,28.3,3
39,1,28.3,3
33,0,28.27,3
38,1,28.27,3
47,1,28.215,3
47,1,28.215,3
18,0,28.215,3
58,0,28.215,3
61,0,28.2,3
50,0,28.16,3
40,0,28.12,3
23,0,28.12,3
50,0,28.12,3
32,1,28.12,3
53,0,28.1,3
57,1,28.1,3
22,0,28.05,3
46,0,28.05,3
41,0,28.05,3
37,1,28.025,3
20,1,28.025,3
38,1,28.025,3
36,1,28.025,3
35,0,28.025,3
48,1,28,3
38,0,28,3
23,0,28,3
29,1,27.94,3
29,0,27.94,3
57,1,27.94,3
20,1,27.93,3
30,0,27.93,3
48,0,27.93,3
19,0,27.93,3
19,0,27.9,3
38,1,27.835,3
19,1,27.835,3
34,1,27.835,3
38,0,27.835,3
32,1,27.835,3
50,0,27.83,3
59,0,27.83,3
47,0,27.83,3
45,0,27.83,3
43,1,27.8,3
37,0,27.74,3
46,0,27.74,3
35,1,27.74,3
63,0,27.74,3
36,0,27.74,3
51,1,27.74,3
59,0,27.72,3
46,0,27.72,3
34,0,27.72,3
24,0,27.72,3
19,1,27.7,3
30,0,27.7,3
35,0,27.7,3
30,1,27.645,3
44,0,27.645,3
31,1,27.645,3
45,0,27.645,3
55,1,27.645,3
54,0,27.645,3
47,0,27.645,3
35,1,27.61,3
24,0,27.6,3
46,1,27.6,3
50,0,27.6,3
19,1,27.6,3
38,0,27.6,3
25,1,27.55,3
36,1,27.55,3
62,1,27.55,3
60,0,27.55,3
34,0,27.5,3
59,1,27.5,3
28,0,27.5,3
44,0,27.5,3
59,0,27.5,3
45,1,27.5,3
50,1,27.455,3
33,1,27.455,3
44,1,27.4,3
40,0,27.4,3
43,1,27.36,3
52,1,27.36,3
50,0,27.36,3
21,1,27.36,3
23,1,27.36,3
18,1,27.36,3
48,0,27.36,3
20,1,27.3,3
18,0,27.28,3
38,0,27.265,3
48,0,27.265,3
26,1,27.265,3
19,1,27.265,3
56,0,27.2,3
29,1,27.2,3
49,0,27.17,3
58,0,27.17,3
33,1,27.1,3
49,0,27.1,3
35,1,27.1,3
22,0,27.1,3
50,0,27.075,3
26,1,27.06,3
34,1,27,3
55,0,26.98,3
63,0,26.98,3
28,1,26.98,3
42,1,26.9,3
31,1,26.885,3
64,0,26.885,3
43,0,26.885,3
36,0,26.885,3
20,0,26.84,3
22,1,26.84,3
55,0,26.8,3
25,1,26.8,3
24,1,26.79,3
25,0,26.79,3
34,0,26.73,3
18,0,26.73,3
53,0,26.7,3
43,0,26.7,3
56,1,26.695,3
25,1,26.695,3
59,0,26.695,3
33,0,26.695,3
62,1,26.695,3
46,1,26.62,3
31,0,26.62,3
24,0,26.6,3
42,0,26.6,3
56,0,26.6,3
53,0,26.6,3
47,0,26.6,3
50,1,26.6,3
23,1,26.51,3
28,0,26.51,3
59,0,26.505,3
44,0,26.41,3
39,1,26.41,3
53,1,26.41,3
34,0,26.41,3
50,1,26.41,3
64,1,26.41,3
59,1,26.4,3
52,1,26.4,3
21,0,26.4,3
37,0,26.4,3
18,0,26.315,3
40,1,26.315,3
28,0,26.315,3
42,1,26.315,3
39,0,26.315,3
62,0,26.29,3
25,1,26.22,3
63,0,26.22,3
39,1,26.22,3
50,0,26.22,3
36,0,26.2,3
42,0,26.18,3
18,1,26.18,3
42,1,26.125,3
47,0,26.125,3
35,0,26.125,3
18,1,26.125,3
42,1,26.07,3
43,1,26.03,3
29,0,26.03,3
27,1,26.03,3
19,1,26.03,3
21,1,26.03,3
28,0,25.935,3
56,1,25.935,3
31,1,25.935,3
29,0,25.9,3
31,1,25.9,3
36,0,25.9,3
48,0,25.85,3
60,0,25.84,3
49,1,25.84,3
49,1,25.84,3
25,1,25.84,3
36,0,25.84,3
51,0,25.8,3
46,1,25.8,3
44,0,25.8,3
24,1,25.8,3
28,0,25.8,3
31,0,25.8,3
21,0,25.8,3
21,1,25.745,3
46,1,25.745,3
19,0,25.745,3
31,0,25.74,3
25,1,25.74,3
60,1,25.74,3
57,0,25.74,3
21,1,25.7,3
45,0,25.7,3
56,0,25.65,3
50,0,25.6,3
64,1,25.6,3
49,1,25.6,3
29,0,25.6,3
19,1,25.555,3
19,1,25.555,3
37,0,25.555,3
43,1,25.52,3
30,1,25.46,3
40,0,25.46,3
47,1,25.46,3
18,1,25.46,3
59,1,25.46,3
54,1,25.46,3
59,1,25.46,3
47,1,25.41,3
51,1,25.4,3
55,0,25.365,3
50,1,25.365,3
44,1,25.365,3
34,1,25.3,3
56,0,25.3,3
52,0,25.3,3
42,0,25.3,3
50,1,25.3,3
34,1,25.27,3
24,0,25.27,3
43,0,25.27,3
58,0,25.2,3
22,1,25.175,3
18,1,25.175,3
19,1,25.175,3
27,0,25.175,3
45,0,25.175,3
58,1,25.175,3
54,1,25.1,3
61,0,25.08,3
18,0,25.08,3
43,0,25.08,3
63,0,25.08,3
40,1,25.08,3
62,0,25,3
44,0,25,3
42,0,24.985,3
25,1,24.985,3
40,1,24.97,3
39,0,24.89,2
42,1,24.86,2
52,0,24.86,2
53,0,24.795,2
33,1,24.795,2
46,1,24.795,2
51,1,24.795,2
27,0,24.75,2
64,1,24.7,2
19,0,24.7,2
59,1,24.7,2
43,0,24.7,2
42,1,24.64,2
35,0,24.63736723,2
35,1,24.63130708,2
21,1,24.62051657,2
33,1,24.605,2
19,0,24.605,2
54,0,24.605,2
42,1,24.605,2
19,1,24.6,2
32,0,24.6,2
29,0,24.6,2
25,0,24.58133263,2
30,0,24.565532,2
60,0,24.53,2
39,1,24.51,2
19,0,24.51,2
23,1,24.51,2
33,1,24.47975296,2
33,0,24.44432501,2
48,1,24.42,2
35,1,24.42,2
20,0,24.42,2
51,1,24.415,2
30,1,24.4,2
30,1,24.32755824,2
52,1,24.32,2
28,0,24.32,2
53,1,24.32,2
60,1,24.32,2
60,1,24.32,2
37,1,24.32,2
47,0,24.32,2
33,0,24.31,2
45,1,24.31,2
22,0,24.3,2
25,0,24.3,2
28,1,24.3,2
26,0,24.29977658,2
26,0,24.28462002,2
18,1,24.26040203,2
21,1,24.25351783,2
22,1,24.24310929,2
20,1,24.23349753,2
19,1,24.23336013,2
24,0,24.225,2
39,0,24.225,2
23,0,24.225,2
22,1,24.2221466,2
30,0,24.20535274,2
33,1,24.19613635,2
34,0,24.1624058,2
22,0,24.16044167,2
22,0,24.15321197,2
33,1,24.13706425,2
35,1,24.13,2
30,1,24.13,2
25,1,24.13,2
52,0,24.13,2
22,0,24.12474339,2
47,0,24.1,2
27,0,24.1,2
18,0,24.09,2
35,0,24.06922516,2
60,0,24.035,2
45,1,24.035,2
54,1,24.035,2
32,1,24.03277721,2
29,1,24.02941864,2
30,0,24.0238826,2
23,1,24.01671814,2
20,0,24.01619131,2
26,1,24.01382595,2
18,0,24.01170132,2
22,1,24.00995512,2
34,1,24.00220851,2
27,1,23.99285673,2
28,1,23.98,2
44,0,23.98,2
57,0,23.98,2
19,0,23.97781329,2
27,0,23.96143721,2
26,0,23.95814514,2
28,1,23.9557135,2
24,0,23.94392147,2
41,1,23.94,2
19,1,23.93645728,2
24,1,23.91304198,2
34,1,23.90357404,2
25,1,23.9,2
27,0,23.87506928,2
39,0,23.87,2
22,0,23.86726644,2
29,0,23.86697441,2
26,0,23.84583513,2
23,1,23.845,2
28,0,23.845,2
49,0,23.845,2
27,1,23.84289911,2
22,0,23.83475662,2
33,0,23.80695008,2
20,0,23.80195701,2
28,1,23.8,2
22,0,23.79954659,2
28,1,23.79711189,2
32,0,23.7960627,2
20,1,23.79121441,2
20,0,23.78355015,2
18,1,23.77726998,2
64,1,23.76,2
28,0,23.75959018,2
18,1,23.75502271,2
18,1,23.75,2
21,1,23.75,2
53,0,23.75,2
20,0,23.74387431,2
28,0,23.72236022,2
21,0,23.72163082,2
24,1,23.70349061,2
26,1,23.7,2
57,1,23.7,2
33,0,23.69425491,2
19,0,23.69121754,2
31,1,23.68732341,2
30,0,23.68400458,2
22,1,23.67452149,2
29,0,23.66780996,2
35,0,23.65901614,2
59,0,23.655,2
24,1,23.655,2
61,1,23.655,2
46,0,23.655,2
30,0,23.655,2
32,0,23.65,2
30,1,23.64888917,2
29,0,23.64878884,2
35,0,23.62898971,2
20,1,23.61690725,2
18,1,23.60854594,2
28,0,23.6005564,2
47,0,23.6,2
31,0,23.6,2
33,0,23.5994403,2
20,1,23.58443723,2
29,1,23.5818062,2
26,0,23.57403942,2
33,1,23.5736991,2
21,0,23.57214567,2
33,1,23.57206075,2
31,0,23.57124717,2
18,1,23.57118834,2
22,1,23.56891846,2
34,0,23.56,2
45,1,23.56,2
22,1,23.55917172,2
18,0,23.54435619,2
34,1,23.54392833,2
50,0,23.54,2
23,1,23.53775368,2
22,1,23.53470502,2
28,1,23.52474117,2
19,1,23.52037025,2
20,1,23.51459387,2
30,0,23.51283039,2
24,0,23.50128686,2
29,0,23.49801168,2
27,0,23.49531665,2
35,0,23.48973096,2
34,0,23.4836546,2
31,0,23.4758336,2
25,1,23.47244135,2
27,0,23.46700749,2
25,0,23.465,2
35,0,23.465,2
27,0,23.46468597,2
29,0,23.45846665,2
27,0,23.42915808,2
18,0,23.42748371,2
28,0,23.42702657,2
25,1,23.40977569,2
26,1,23.40724723,2
24,1,23.4,2
19,0,23.4,2
22,1,23.39460232,2
35,0,23.38778792,2
27,1,23.38511555,2
24,1,23.38290934,2
24,1,23.37495452,2
21,0,23.37344467,2
37,0,23.37,2
42,0,23.37,2
40,0,23.37,2
26,1,23.36940251,2
28,1,23.36806282,2
25,1,23.36391973,2
27,0,23.36286906,2
22,1,23.35388519,2
19,1,23.35330511,2
30,1,23.35150824,2
32,1,23.34767902,2
27,0,23.34764599,2
23,0,23.34406645,2
21,1,23.3387378,2
34,1,23.33436048,2
32,1,23.33042825,2
34,1,23.3301021,2
33,1,23.32999297,2
19,1,23.3217954,2
18,1,23.32,2
21,1,23.31899565,2
34,1,23.31564358,2
31,1,23.31492551,2
23,1,23.31425773,2
20,0,23.30664902,2
34,1,23.30556878,2
19,1,23.30457405,2
29,1,23.30452055,2
20,0,23.30245026,2
32,1,23.30159122,2
58,1,23.3,2
33,0,23.29784037,2
27,0,23.29688736,2
28,1,23.29074229,2
27,1,23.28678102,2
20,0,23.28123569,2
23,1,23.27686338,2
22,1,23.27680018,2
18,0,23.27588596,2
39,0,23.275,2
28,1,23.26052398,2
32,1,23.25126528,2
32,0,23.23404362,2
18,0,23.23017507,2
32,1,23.22691625,2
29,0,23.21801996,2
31,1,23.21757808,2
32,1,23.21682204,2
33,0,23.21602665,2
24,0,23.21,2
27,0,23.21,2
51,1,23.21,2
18,1,23.21,2
21,1,23.21,2
43,1,23.2,2
28,1,23.19175838,2
20,1,23.18845242,2
57,0,23.18,2
49,0,23.18,2
22,0,23.18,2
23,0,23.18,2
52,0,23.18,2
26,1,23.17478747,2
27,0,23.17380003,2
20,1,23.17328805,2
18,1,23.17221987,2
22,1,23.16982208,2
31,1,23.16908093,2
23,0,23.1690434,2
23,1,23.16377476,2
33,1,23.16222272,2
32,0,23.15679801,2
